link,name,department,academic_interests,bio
https://pages.charlotte.edu/connections/people/dmauer/,David Mauer,Finance,,
https://pages.charlotte.edu/connections/people/frneale/,Faith Neale,Finance,insurance regulation insurer solvency   medical malpractice,
https://pages.charlotte.edu/connections/people/glai/,Gene Lai,Finance,,
https://pages.charlotte.edu/connections/people/ichiang1/,I-Hsuan Chiang,Finance,asset pricing empirical asset pricing financial econometrics   fixed income securities portfolio management portfolio performance evaluation,"I-Hsuan Ethan Chiang Associate Professor of Finance Belk College of Business University of North Carolina at Charlotte 9201 University City Boulevard Charlotte, NC 28223, USA  Email: Ethan.Chiang [at] uncc [dot] edu Official URL: Click here  Professor Ethan Chiang’s research focuses on empirical asset pricing, portfolio management and performance evaluation, fixed income securities, international finance, and quantitative methods.  He has published scholarly articles in leading financial economics and asset pricing journals, such as Journal of Finance, Review of Asset Pricing Studies, and Journal of Banking & Finance.  His papers have been included in the programs of major international academic conferences, such as American Finance Association Annual Meetings, European Finance Association Annual Meetings, China International Conference in Finance, American Economic Association Meetings, and Financial Intermediation Research Society Conference.  He was also invited to give speeches to policy makers (e.g.,  Federal Reserve Board) and practitioners (e.g., Wolfe Research). His papers won best paper awards from international academic societies, including Financial Management Association, Eastern Finance Association (twice), and INFORMS.  At the Belk College of Business, his research has been recognized with the Best Faculty Research Paper Award, and he was named the 2016 Dean’s Scholar.  Professor Chiang teaches PhD Portfolio Theory, MS in Math Finance Fixed Income, MBA Financial Management, Multinational Financial Management, and undergraduate Investments at UNC Charlotte, and Global Business Strategy MBA Multinational Financial Management at EGADE Business School, Tecnologico de Monterrey, and he was recognized with the 2021 Belk College of Business Excellence in Graduate Teaching Award.  Prior to joining UNC Charlotte, he taught Investments and MBA/MSF Fixed Income Reviews at Boston College, and Business Finance at the University of Washington. Professor Chiang received BA in Economics from National Taiwan University, MBA from National Chengchi University (Taiwan), and PhD in Finance from Boston College."
https://pages.charlotte.edu/connections/people/jrussell/,Judson Russell,Finance,,
https://pages.charlotte.edu/connections/people/kwomack4/,Kiplan Womack,Finance,,
https://pages.charlotte.edu/connections/people/lblenman/,Lloyd Blenman,Finance,asset pricing models continuous-time finance   futures international finance,"Education:  Ph.D., Ohio State University Areas of Expertise:  International Finance Asset Pricing Futures and Options  2008 Midwest Finance Association Program Chair"
https://pages.charlotte.edu/connections/people/spclark/,Steven Clark,Finance,applied probability corporate finance derivatives derivatives markets financial risk management   mathematical finance random processes securities markets stochastic control stochastic modeling,"Education: 2003 Ph.D. in Applied Economics, The John E. Walker Department of Economics, Clemson University 2000 Ph.D. in Mathematical Sciences, Department of Mathematical Sciences, Clemson University Research: •Mathematical Finance •Derivative Securities •Financial Econometrics •Real Estate •Applied Probability"
https://pages.charlotte.edu/connections/people/tking3/,Tao-Hsien King,Finance,corporate finance   fixed income securities,"Tao-Hsien Dolly King Rush S. Dickson Professor of Finance Belk College of Business University of North Carolina at Charlotte Research Interests:  Corporate Finance, Fixed Income Securities Education: Ph.D., University of Wisconsin – Madison M.B.A., University of Wisconsin – Madison B.B.A., National Cheng-Kung University"
https://pages.charlotte.edu/connections/people/tsmarsha/,Thomas Marshall,Finance,,
https://pages.charlotte.edu/connections/people/yzhang74/,Yilei Zhang,Finance,,
https://pages.charlotte.edu/connections/people/ychu3/,Yongqiang Chu,Finance,,
https://pages.charlotte.edu/connections/people/yhan15/,Yufeng Han,Finance,,
https://pages.charlotte.edu/connections/people/clkane/,Cheryl Kane,Management,,
https://pages.charlotte.edu/connections/people/dlkerr/,Daryl Kerr,Management,,
https://pages.charlotte.edu/connections/people/dwoehr/,David Woehr,Management,applied psychometrics managerial assessment   performance measurement,
https://pages.charlotte.edu/connections/people/darnold7/,Denis Arnold,Management,,
https://pages.charlotte.edu/connections/people/fkellerm/,Franz Kellermanns,Management,,
https://pages.charlotte.edu/connections/people/gfkohut/,Gary Kohut,Management,business communication technologies business presentations business writing corporate communication   corporate communication strategy leadership development management development negotiation,Office Hours:  Course Information: MBAD 6164 090 syllabus MBAD 6164 Case – State Farm
https://pages.charlotte.edu/connections/people/gbanks3/,George Banks,Management,,
https://pages.charlotte.edu/connections/people/jgooty/,Janaki Gooty,Management,emotion management emotions   leadership,
https://pages.charlotte.edu/connections/people/jbeggs/,Joyce Beggs,Management,,
https://pages.charlotte.edu/connections/people/jwebb62/,Justin Webb,"Management
School of Data Science (SDS)",,
https://pages.charlotte.edu/connections/people/keickhof/,Karen Eickhoff,Management,,
https://pages.charlotte.edu/connections/people/lstanl11/,Laura Stanley,Management,,
https://pages.charlotte.edu/connections/people/scott-tonidandel/,Scott Tonidandel,Management,big data diversity organizational psychology   organizational science people analytics,"Dr. Scott Tonidandel is a Professor of Management in the Belk College of Business at UNC Charlotte. He received his Ph.D. in industrial-organizational psychology from Rice University. His recent work focuses on people analytics and the interface of big data and the organizational sciences. He co-edited the SIOP Frontiers series volume titled Big Data at Work: The Data Science Revolution and Organizational Psychology. He also recently completed work on a NSF-funded project that uses sensors to understand team interactions and the impact of diversity.  He serves as an associate editor for the Journal of Business and Psychology, is a former associate editor for Organizational Research Methods, and is a fellow of the Association for Psychological Science, the American Psychological Association, and the Society for Industrial and Organizational Psychology."
https://pages.charlotte.edu/connections/people/tpieper/,Torsten Pieper,Management,,
https://pages.charlotte.edu/connections/people/vpatel67/,Vijay Patel,Management,,
