                        scholar_name                                       scholar_link
0                            scholar  https://ninercommons.charlotte.edu/islandora/o...
1                    Anita Blanchard  https://ninercommons.charlotte.edu/islandora/o...
2                   Lloyd P. Blenman  https://ninercommons.charlotte.edu/islandora/o...
3                Christopher Cameron  https://ninercommons.charlotte.edu/islandora/o...
4                  Tara L. Cavalline  https://ninercommons.charlotte.edu/islandora/o...
5                        Tyler Cline  https://ninercommons.charlotte.edu/islandora/o...
6                    James M. Conrad  https://ninercommons.charlotte.edu/islandora/o...
7                 Rebecca A. Croxton  https://ninercommons.charlotte.edu/islandora/o...
8                       John Daniels  https://ninercommons.charlotte.edu/islandora/o...
9                   Michael S. Doyle  https://ninercommons.charlotte.edu/islandora/o...
10                         Greg Gbur  https://ninercommons.charlotte.edu/islandora/o...
11                    Navid Goudarzi  https://ninercommons.charlotte.edu/islandora/o...
12                     Andrew Harver  https://ninercommons.charlotte.edu/islandora/o...
13                    Shirley Hunter  https://ninercommons.charlotte.edu/islandora/o...
14                  Donald J. Jacobs  https://ninercommons.charlotte.edu/islandora/o...
15                     Kevin Lindsay  https://ninercommons.charlotte.edu/islandora/o...
16                       Ann Loraine  https://ninercommons.charlotte.edu/islandora/o...
17         Michael S. Matthews, Ph.D  https://ninercommons.charlotte.edu/islandora/o...
18                       Glenda Mayo  https://ninercommons.charlotte.edu/islandora/o...
19          Christopher D. Mellinger  https://ninercommons.charlotte.edu/islandora/o...
20            Jimmie A. Miller, PhD   https://ninercommons.charlotte.edu/islandora/o...
21        Catherine Mitchell Fuentes  https://ninercommons.charlotte.edu/islandora/o...
22  Benyawarath Nithithanatchinnapat  https://ninercommons.charlotte.edu/islandora/o...
23                     Natalie Ornat  https://ninercommons.charlotte.edu/islandora/o...
24                     Trevor Pearce  https://ninercommons.charlotte.edu/islandora/o...
25                     Amanda Pipkin  https://ninercommons.charlotte.edu/islandora/o...
26                      Kathy Reichs  https://ninercommons.charlotte.edu/islandora/o...
27                    Rebekah Rogers  https://ninercommons.charlotte.edu/islandora/o...
28                      Jacob Scheff  https://ninercommons.charlotte.edu/islandora/o...
29                 Stanley Schneider  https://ninercommons.charlotte.edu/islandora/o...
30                      Yesim Sireli  https://ninercommons.charlotte.edu/islandora/o...
31              Lisa Slattery Walker  https://ninercommons.charlotte.edu/islandora/o...
32                    Ronald Smelser  https://ninercommons.charlotte.edu/islandora/o...
33                         Ed Stokes  https://ninercommons.charlotte.edu/islandora/o...
34                       Yanqing Sun  https://ninercommons.charlotte.edu/islandora/o...
35                 Jean-Claude Thill  https://ninercommons.charlotte.edu/islandora/o...
36                            Jun Xu  https://ninercommons.charlotte.edu/islandora/o...
37                        Yong Zhang  https://ninercommons.charlotte.edu/islandora/o...
38                    Erik Jon Byker  https://ninercommons.charlotte.edu/islandora/o...
