scholar_name,scholar_link
scholar,https://ninercommons.charlotte.edu/islandora/object/
Anita Blanchard,https://ninercommons.charlotte.edu/islandora/object/scholar:4
Lloyd P. Blenman,https://ninercommons.charlotte.edu/islandora/object/scholar:92
Christopher Cameron,https://ninercommons.charlotte.edu/islandora/object/scholar:76
Tara L. Cavalline,https://ninercommons.charlotte.edu/islandora/object/scholar:51
Tyler Cline,https://ninercommons.charlotte.edu/islandora/object/scholar:168
James M. Conrad,https://ninercommons.charlotte.edu/islandora/object/scholar:96
Rebecca A. Croxton,https://ninercommons.charlotte.edu/islandora/object/scholar:166
John Daniels,https://ninercommons.charlotte.edu/islandora/object/scholar:82
Michael S. Doyle,https://ninercommons.charlotte.edu/islandora/object/scholar:90
Greg Gbur,https://ninercommons.charlotte.edu/islandora/object/scholar:72
Navid Goudarzi,https://ninercommons.charlotte.edu/islandora/object/scholar:94
Andrew Harver,https://ninercommons.charlotte.edu/islandora/object/scholar:114
Shirley Hunter,https://ninercommons.charlotte.edu/islandora/object/scholar:108
Donald J. Jacobs,https://ninercommons.charlotte.edu/islandora/object/scholar:68
Kevin Lindsay,https://ninercommons.charlotte.edu/islandora/object/scholar:102
Ann Loraine,https://ninercommons.charlotte.edu/islandora/object/scholar:146
"Michael S. Matthews, Ph.D",https://ninercommons.charlotte.edu/islandora/object/scholar:80
Glenda Mayo,https://ninercommons.charlotte.edu/islandora/object/scholar:88
Christopher D. Mellinger,https://ninercommons.charlotte.edu/islandora/object/scholar:23
"Jimmie A. Miller, PhD ",https://ninercommons.charlotte.edu/islandora/object/scholar:70
Catherine Mitchell Fuentes,https://ninercommons.charlotte.edu/islandora/object/scholar:100
Benyawarath Nithithanatchinnapat,https://ninercommons.charlotte.edu/islandora/object/scholar:104
Natalie Ornat,https://ninercommons.charlotte.edu/islandora/object/scholar:66
Trevor Pearce,https://ninercommons.charlotte.edu/islandora/object/scholar:64
Amanda Pipkin,https://ninercommons.charlotte.edu/islandora/object/scholar:46
Kathy Reichs,https://ninercommons.charlotte.edu/islandora/object/scholar:11
Rebekah Rogers,https://ninercommons.charlotte.edu/islandora/object/scholar:48
Jacob Scheff,https://ninercommons.charlotte.edu/islandora/object/scholar:78
Stanley Schneider,https://ninercommons.charlotte.edu/islandora/object/scholar:98
Yesim Sireli,https://ninercommons.charlotte.edu/islandora/object/scholar:118
Lisa Slattery Walker,https://ninercommons.charlotte.edu/islandora/object/scholar:106
Ronald Smelser,https://ninercommons.charlotte.edu/islandora/object/scholar:111
Ed Stokes,https://ninercommons.charlotte.edu/islandora/object/scholar:13
Yanqing Sun,https://ninercommons.charlotte.edu/islandora/object/scholar:86
Jean-Claude Thill,https://ninercommons.charlotte.edu/islandora/object/scholar:21
Jun Xu,https://ninercommons.charlotte.edu/islandora/object/scholar:84
Yong Zhang,https://ninercommons.charlotte.edu/islandora/object/scholar:44
Erik Jon Byker,https://ninercommons.charlotte.edu/islandora/object/scholar:213
