link,name,department,academic_interests,bio
https://pages.charlotte.edu/connections/people/jwalla52/,Jennifer Wallace,Art & Art History,"art
installation
interior and exterior spaces
multimedia
nature
performance


performance art
printmaking
society
video
visual arts","Jennifer Marie Wallace is a Lecturer of Foundations in the Department of Art & Art History. Wallace is a South Carolina native whose work evaluates patterns within sites, histories, and people. She received her BFA from the University of South Carolina and her MFA from Arizona State University. She is trained as a printmaker but her work takes the form of performance, installation, video, & multi-media. Her work has been shown nationally and internationally. Her research explores the ideas of interior and exterior as they juxtapose the relationship between society and nature.
See her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/jburke43/,Jessica “J.B.” Burke,Art & Art History,"art
art history
art pedagogy
art theory and practice
drawing
gender


identity
mass media
painting
popular culture
portraiture
visual arts","Jessica “JB” Burke is an Associate Professor and Foundation Coordinator in the Department of Art & Art History. She teaches Foundations in Art and is the Foundations area coordinator. She is very invested in foundations pedagogy and serves as an elected member on the national board of Foundations in Art: Theory and Practice (FATE). She also was elected to the national board of Integrative Teaching International (ITI) where she serves as Associate Vice President of Programming. As an artist, she is interested in the effect of popular culture on identity. Her creative work has been included in competitive juried and solo exhibitions nationally and internationally. Her work is in many private, state and corporate collections that include the City of North Charleston, South Carolina; the City of Savannah, Georgia; Seminole State College, Florida and the National Living Treasure Museum in Yugawara, Japan.

See more on her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/jffrakes/,Jim Frakes,Art & Art History,"ancient Gaul
ancient Greece
ancient Greek art
ancient mediterranean
ancient near east
ancient Roman art
ancient Roman urbanism
ancient Rome
ancient urbanism
art
art history
cultural history


culture
ethics
Mediterranean architecture
roman architecture
Roman art history
Roman visual culture
Rome
social identity
visual arts
visual cultural systems
visual culture","Jim Frakes is an Associate Professor of Art History in the Department of Art & Art History. His book, Framing Public Life: the Portico in Roman Gaul (2009) looks at the installation of a common Mediterranean architectural form in the Gallic provinces, and analyzes how the colonnaded walkway both promoted and sustained new forms of social identity. He has recently contributed an essay on the forum as a Roman urban phenomenon for Blackwell’s A Companion to Roman Architecture (2013) and is co-editor of Beyond Boundaries: Visual Culture in the Roman Provinces (2016) from the Getty Press. His current work focuses on the visual cultural systems that marked the era of the Severan Dynasty (193-235 CE). 

See more on his faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/kbryant/,Keith Bryant,Art & Art History,"3d art
art
ceramics
metal


sculpture
visual arts
wood","Keith Bryant is a lecturer in ceramics and sculpture in the Department of Art & Art History. He creates work from a place that exists beyond the confines of language yet enhances the realm of understanding riddles in life, connection, and independence. Working in wood, metals, and ceramics his forms employ abstraction but not without metaphor. His sculptures address ideas of loneliness, isolation, architecture, and landscape. His work has been exhibited nationally and held in corporate collections throughout the southeast and mountain states.
As an educator in the arts for over two decades, Keith has taught for UNC Charlotte in the Department of Art & Art History since 2000.  His instructional focus is ceramics, sculpture, and three-dimensional design.  A move in 1990 brought him to Charlotte, NC for the first time to teach at Central Piedmont Community College after teaching at the University of South Carolina, Columbia. He holds an MFA from Cranbrook Academy of Art, a BFA from Colorado State University, and a residency at Philadelphia College of Art – today known as the University of the Arts.
See more on his faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/krothroc/,Kristin Rothrock,Art & Art History,"2d art
art
book arts
drawing
fibers
figure drawing


foundations
graphic arts
paper making
printmaking
visual arts","Kristin Rothrock began teaching at UNC Charlotte in 2000. She is a Senior Lecturer in Art Foundations in the Department of Art & Art History and teaches Book Arts and Paper Making. Rothrock has an MFA in Graphic Arts from the University of Wisconsin-Madison and a BS in Studio Art/Printmaking from Skidmore College.
See her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/jemerli1/,Jae Emerling,Art & Art History,"Architecture
art
art history
contemporary art


modern art
photography
visual arts","Jae Emerling is a Professor of Art History in the Department of Art & Art History and is the Director of the College of Arts + Architecture’s Honors Program. In 2011 he was visiting professor of contemporary art in the Faculty of Arts at VU Amsterdam. He received his Ph.D. in Art History from the University of California, Los Angeles.  He is the author of Theory for Art History (2005) and award-winning Photography: History and Theory (2012), both published by Routledge.  His work has also appeared in the Journal of Visual Culture, History of Photography, Radical Philosophy, CAA Reviews, Journal of Art Historiography, and the Los Angeles based magazine X-TRA: Contemporary Art Quarterly.  He is currently working on a book about the aesthetic-historiographic concept of transmissibility.  Some of this work has recently appeared in Contemporary Art about Architecture (2013), Bergson and The Art of Immanence: Painting, Photography, Film (2013), and a special issue of the Journal of Visual Culture entitled Architecture! (2016). Recent publications include:



Emerling, “Transmissibility: A Mode of Artistic Re-search,” The Dark Precursor: Deleuze and Artistic Research, edited by Paulo de Assis and Paolo Giudici, Leuven: Leuven University Press, 2017: 437-445.
Emerling, “To Betray Art History,” Journal of Art Historiography, Special issue A Tribute to Donald Preziosi, edited by Philip Armstrong and Jae Emerling, December 2015:  https://arthistoriography.files.wordpress.com/2016/11/emerling.pdf
Emerling, “An Art Historical Return to Bergson,” Bergson and the Art of Immanence, edited by John Mullarkey and Charlotte de Mille, Edinburgh: Edinburgh University Press, 2013:  260-271.
Emerling, “Kunstgriff: Art as Event, Not Commodity,” with Donald Preziosi, Esse: Arts + Opinions special volume Taking a Stance, v. 85, Fall 2015: 7-11.
Emerling, “To Render Time Sensible,” Journal of Art Historiography, November 2015: https://arthistoriography.wordpress.com/2015/11/20/book-review-jae-emerling-on-keith-moxey-visual-time-the-image-in-history/
Emerling, review of T.J. Demos’s Return to the Postcolony: Spectres of Colonialism in Contemporary Art and The Migrant Image: The Art and Politics of Documentary during Global Crisis, caa.reviews, Fall 2014.



View his faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/jsfranki/,Jamie Franki,Art & Art History,"art
art history
coins
illustration
medal design
medallic design


metal
relief sculpture
studio art
visual arts
visual communications","Jamie Franki is an Associate Professor, the Illustration Area Coordinator, and the Associate Chair of the Department of Art & Art History. Franki is a tenured Associate Professor at the University of North Carolina at Charlotte, where he coordinates the Illustration program. Franki maintains an artistic practice in exhibition, medallic design, relief sculpture, and visual communication. He is currently a designer in the United States Mint’s Artistic Infusion Program. In 2008, Franki designed the Order of IKKOS Medal, the United States Olympic Committee’s perpetual honor society award for Team USA coaches. He has also designed and sculpted several National Money Show and World’s Fair of Money medals for the American Numismatic Association. In 2011, Jamie was awarded the ANA’s Presidential Award for his artistic practice and service to the Numismatic community. 

See more on his faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/jdalto19/,Jane Dalton,Art & Art History,"art
art in the classroom
art pedagogy
arts education
contemplative practices
expressive arts
k-12


k-12 art
mindfulness
social-emotional learning
studio art
textile design
visual arts
weaving","Jane Dalton is an Associate Professor of Art Education at the University of North Carolina in Charlotte. She earned her Ph.D. in Expressive Arts in Education and an M.F.A in Textile Design and Weaving. Her research interests include mindfulness, contemplative pedagogy and practice, and transformative learning using the arts. Her teaching includes studio art, arts-based professional development workshops for K-12 teachers, and preparing pre-service art education teachers. She teaches with the arts at the center of learning, believing the arts are a powerful tool for transforming classrooms by motivating students to make connections across content areas, to work cooperatively, and to think critically and creatively. Through the arts, her aim is to support individuals to become richer, more whole, perhaps more compassionate because of greater self-awareness and a deeper understanding of their place in the world.


Her teaching includes professional development workshops for K-12 teachers, preparing pre-service K-12 Art Education teachers, as well as studio art classes. She is the co-editor of  The Whole Person: Embodying Teaching and Learning through Lectio and Visio Divina (2019, Rowan & Littlefield), and the 3-volume book series on Contemplative Practices, Research, and Pedagogy (2018/2019, Rowan & Littlefield). She is also co-author of The Compassionate Classroom: Lessons that Nurture Empathy and Wisdom (2004, Chicago Review Press).  She has published numerous articles and book chapters including: Artfully Aware: Contemplative Practices in the Classroom; The Expressive Teacher: Renewing Vitality through Arts-Based Professional Development; Drawing out the Soul: Contemporary Arts Integration; Researching Contemporary Handwork: Stitching as Renewal, Remembrance, and Revolution, and, Caring as a Transformative Model for Arts Integration. She has also presented at regional, national, and international conferences on the value of arts, contemplative practice, and mindfulness in education.
Jane has practiced meditation, yoga, and contemplative practices for 30 years. As a textile artist, her work has appeared in solo and group exhibitions throughout the United States and can be found in private and corporate collections.
See more on her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/jwill416/,Janet Williams,Art & Art History,"3d art
art
ceramics
digital technologies
environment
experimental materials
experimental materials and process


fine arts
landscape
nature
sculpture
topography
visual arts","Janet Williams is an Associate Professor and the Ceramics Area Coordinator in the Department of Art & Art History. Janet received a BA(Hons) in Fine Art from Middlesex Polytechnic London, a Post-graduate Diploma in Ceramics from Goldsmiths, University of London, and an MFA in Ceramics from Cranbrook Academy of Art, Michigan, USA. Janet’s work has been exhibited throughout the United States and internationally and she has received many awards including the Pollock-Krasner Foundation, two McKnight Foundation Residencies, Artist Fellowships from the Nebraska Arts Council, Arts & Science Council, NC and Faculty Research and Digital-Making Grants from UNC Charlotte. Janet has exhibited widely, been a visiting artist at many Universities and Art Centers nationally and internationally and she has attended artist residencies and symposia throughout the United States, Canada, Europe & Asia– most recently at Shangyu, China (2017), The International Ceramic Research Centre, Guldagergaard, Denmark (2014) the Northern Clay Center, Minneapolis (2012). Her work is included in various national and international, public, and private collections.

See her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/jemurphy/,Jeff Murphy,Art & Art History,"animation
animations
art
digital media
film


graphic design
interactive design
photography
technology
visual arts","Jeff Murphy is an Associate Professor and the Digital Media/Digital Photography Area Coordinator for the Department of Art & Art History. Jeff is a Charlotte-based artist working primarily with digital media. His creative career began while taking photography, film, and animation courses as an undergraduate at Ohio State University. In fact, he took a number of courses while in school across a range of diverse majors. In the end, it was lens-based image-making that stuck while everything else fell away.
Jeff’s work has been published in a diverse array of publications including WIRED Magazine, World Art Magazine, and the textbook Exploring Color Photography. He has received individual artist grants from the Arts and Science Council, the Ohio Arts Council and the North Carolina Arts Council. In addition to over 40 National solo exhibitions, his digital images, videos, and installations have been seen in the United States, Germany, Hungary, Spain, and Brazil.
Jeff currently teaches digital imaging, interactive design, photography and video at UNC Charlotte. He received his BFA from the Ohio State University in 1989 and his MFA from the University of Florida in 1995.
See his faculty profile at coaa.uncc.edu >>"
